iter	Poisson
313	-298.2274302
314	-298.3393214
315	-298.4243867
316	-298.5803484
317	-298.8115145
318	-298.9224603
319	-298.9973159
320	-299.0589076
321	-299.1844245
322	-299.2827817
323	-299.3467168
324	-299.4475795
325	-299.4957324
326	-299.6726925
327	-299.7873222
328	-299.9600592
329	-300.0915566
330	-300.2678374
331	-300.3296579
332	-300.4381225
333	-300.594066
334	-300.8378557
335	-300.9632032
336	-301.0130095
337	-301.1974779
338	-301.3378756
339	-301.484003
340	-301.6599526
341	-301.7137809
342	-301.7819911
343	-301.8453471
344	-301.8931176
345	-302.0024162
346	-302.0323752
347	-302.136861
348	-302.1946301
349	-302.2764427
350	-302.4102473
351	-302.5733083
352	-302.6668398
353	-302.762445
354	-302.8764748
355	-302.897803
356	-302.9511868
357	-302.9942947
358	-303.1174657
359	-303.1551651
360	-303.2309574
361	-303.2637593
362	-303.3547
363	-303.4283868
364	-303.5332934
365	-303.6088255
366	-303.7410534
367	-303.8081659
368	-303.9589985
369	-304.1568459
370	-304.2882057
371	-304.4013089
372	-304.4490443
373	-304.4917795
374	-304.5354212
375	-304.6036926
376	-304.6323373
377	-304.6668426
378	-304.7665896
379	-304.8427491
380	-304.9055214
381	-304.9609943
382	-305.0073681
383	-305.0305809
384	-305.1158385
385	-305.3194705
386	-305.3492771
387	-305.4554819
388	-305.5189233
389	-305.5505599
390	-305.6214544
391	-305.6641751
392	-305.7355273
393	-305.9458437
394	-306.0146368
395	-306.0720491
396	-306.1640764
397	-306.2342722
398	-306.3301608
399	-306.3977193
400	-306.4246994
401	-306.5366942
402	-306.6012502
403	-306.6810533
404	-306.7752697
405	-306.8511536
406	-306.9562291
407	-307.0429698
408	-307.1163368
409	-307.1790864
410	-307.2410086
411	-307.3321312
412	-307.4103244
413	-307.4610508
414	-307.5231408
415	-307.6147469
416	-307.7110454
417	-307.7697022
418	-307.9079444
419	-308.0369567
420	-308.1766217
421	-308.2384658
422	-308.4045966
423	-308.5077135
424	-308.6331721
425	-308.6792455
426	-308.799731
427	-308.8647405
428	-308.9664734
429	-309.1092236
430	-309.2688099
431	-309.3211158
432	-309.3431555
433	-309.4850383
434	-309.5900134
435	-309.6748909
436	-309.8288242
437	-309.9719229
438	-310.0811018
439	-310.2166541
440	-310.2793783
441	-310.3671371
442	-310.4125924
443	-310.5064238
444	-310.7024814
445	-310.7647843
446	-310.7895013
447	-310.8851295
448	-311.0842748
449	-311.1497608
450	-311.2030673
451	-311.2503773
452	-311.3323762
453	-311.4438553
454	-311.4707875
455	-311.4894396
456	-311.552688
457	-311.6515853
458	-311.7872876
459	-311.811143
460	-311.864568
461	-311.9407963
462	-312.0602887
463	-312.1535474
464	-312.4107686
465	-312.4486363
466	-312.6409799
467	-312.7028067
468	-312.7687381
469	-312.937038
470	-313.1015156
471	-313.2066147
472	-313.250679
473	-313.3527254
474	-313.4447536
475	-313.5555858
476	-313.6117218
477	-313.7086517
478	-313.8422557
479	-313.9639488
480	-314.0922984
481	-314.1306938
482	-314.1700735
483	-314.2177212
484	-314.371698
485	-314.4497652
486	-314.5712339
487	-314.7059985
488	-314.7948366
489	-314.8874769
490	-315.0141735
491	-315.1398632
492	-315.3226581
493	-315.4627321
494	-315.6066419
495	-315.654479
496	-315.8040479
497	-315.9446712
498	-315.9630408
499	-316.0133783
500	-316.0995129
501	-316.1926546
502	-316.3048239
503	-316.3345271
504	-316.5367632
505	-316.6175308
506	-316.6424056
507	-316.7267275
508	-316.7430762
509	-316.8450004
510	-316.9200266
511	-317.0426365
512	-317.0852078
513	-317.1461769
514	-317.22211
515	-317.2590729
516	-317.3380778
517	-317.3931633
518	-317.5109073
519	-317.6050364
520	-317.687183
521	-317.767945
522	-317.9215184
523	-317.9493277
524	-318.0491484
525	-318.1493267
526	-318.2757568
527	-318.2869784
528	-318.3219747
529	-318.3638099
530	-318.4264601
531	-318.4899723
532	-318.5681393
533	-318.6230049
534	-318.7193398
535	-318.8302961
536	-318.9580572
537	-319.1132718
538	-319.188272
539	-319.301245
540	-319.3835077
541	-319.451739
542	-319.5347748
543	-319.5937179
544	-319.6277131
545	-319.6942811
546	-319.7451447
547	-319.8581231
548	-319.9251223
549	-320.038033
550	-320.0645602
551	-320.1039942
552	-320.1973607
553	-320.2813237
554	-320.3905535
555	-320.4668123
556	-320.5009816
557	-320.5473494
558	-320.5924585
559	-320.7120384
560	-320.7701363
561	-320.8893487
562	-321.0674572
563	-321.1174232
564	-321.2495613
565	-321.3307766
566	-321.419651
567	-321.4738202
568	-321.5035821
569	-321.6029347
570	-321.658724
571	-321.7777624
572	-321.85129
573	-322.0156202
574	-322.0923129
575	-322.1728898
576	-322.2204058
577	-322.3171701
578	-322.3746676
579	-322.4558583
580	-322.5350846
581	-322.5973698
582	-322.666924
583	-322.7357131
584	-322.8874193
585	-322.9137869
586	-323.0130063
587	-323.1100591
588	-323.1501028
